,dom,cod,dom_correlation,cod_correlation,dom_p,cod_p
0,踊り,女性,0.912141875543738,0.7485339206095007,0.0006068506794715019,0.020322629054706914
1,踊り,スカート,0.8451956828432803,0.39330888211518983,0.004116597419302819,0.2949902441700328
2,踊り,夜,0.7333333333333334,0.5,0.02455415007146968,0.17047066078705375
3,踊り,音楽,0.6166666666666666,0.3403361344537815,0.07692880993776309,0.3701560110232059
4,踊り,回る,0.35,0.05020964452534338,0.35581957250178897,0.8979283954703233
5,踊り,揺れる,0.728039845617479,0.11715583722580122,0.026153620753162264,0.7640451166486228
6,踊り,舞台,0.5833333333333334,0.31666666666666665,0.09918581647988323,0.4063970144863861
7,女性,踊り,0.6333333333333333,0.7666666666666667,0.06708578689234565,0.01594401657897401
8,女性,スカート,0.8200908605806085,0.34309923758984645,0.0067875328192439684,0.36602924302380374
9,女性,夜,-0.15899720766358738,0.6166666666666666,0.6828398157150526,0.07692880993776309
10,女性,音楽,0.5523060897787773,0.4518868007280905,0.12307662993423849,0.22203877371139524
11,女性,回る,-0.03333333333333333,0.2845213189769458,0.932156735540504,0.4580688437057311
12,女性,揺れる,0.08368274087557231,0.41004543029030427,0.8305146353314997,0.27302974714377237
13,女性,舞台,0.75,0.31666666666666665,0.019942126131992522,0.4063970144863861
14,スカート,踊り,0.6611119160302902,0.6778302010921357,0.052514014075065556,0.04480926269300501
15,スカート,女性,0.5546414324985718,0.6611119160302902,0.1211700359343757,0.052514014075065556
16,スカート,夜,0.20920685218893076,0.7395219099980959,0.5890472411061645,0.022767532206174657
17,スカート,音楽,0.43333333333333335,0.5272012675161055,0.2439524358800516,0.14469933213386174
18,スカート,回る,0.3,0.008403361344537816,0.4328453267094823,0.982881820225859
19,スカート,揺れる,-0.049999999999999996,0.11666666666666665,0.8983528043506301,0.7650079429261462
20,スカート,舞台,0.25,0.18410202992625907,0.5164895523012263,0.6353826478012163
21,夜,踊り,0.65,0.31666666666666665,0.05807305801714863,0.4063970144863861
22,夜,女性,0.6025157343041205,0.19999999999999998,0.08595335754058796,0.6059012741795533
23,夜,スカート,0.6166666666666666,0.5333333333333333,0.07692880993776309,0.13922686754397814
24,夜,音楽,0.8200908605806085,0.4184137043778615,0.0067875328192439684,0.2623814171891539
25,夜,回る,0.728039845617479,0.0,0.026153620753162264,1.0
26,夜,揺れる,0.7,0.049999999999999996,0.03576957497026169,0.8983528043506301
27,夜,舞台,0.6610936529170212,0.5333333333333333,0.05252286046708899,0.13922686754397814
28,音楽,踊り,0.47699162299076214,0.19999999999999998,0.19417917606506618,0.6059012741795533
29,音楽,女性,0.4937281711658766,0.5666666666666667,0.17675983229878714,0.11163298761149111
30,音楽,スカート,0.15062893357603013,0.21666666666666667,0.6988841292948215,0.5755148957119259
31,音楽,夜,-0.09205101496312953,0.7666666666666667,0.813794310413029,0.01594401657897401
32,音楽,回る,-0.49579831932773116,0.108787563138244,0.17466957434443628,0.7805538526280621
33,音楽,揺れる,-0.20920685218893076,0.26666666666666666,0.5890472411061645,0.4879222748387009
34,音楽,舞台,0.4435185266405332,0.35,0.2317840652993742,0.35581957250178897
35,回る,踊り,0.02510482226267169,0.39999999999999997,0.9488837293174808,0.2861051019083129
36,回る,女性,0.03347309635022892,0.31799441532717476,0.9318728062136596,0.4043225359679229
37,回る,スカート,0.3096261412396175,0.41004543029030427,0.4174779170120546,0.27302974714377237
38,回る,夜,-0.06694619270045785,0.7999999999999999,0.8641266713551774,0.00962792472537983
39,回る,音楽,0.108787563138244,0.12552411131335847,0.7805538526280621,0.747618228942804
40,回る,揺れる,-0.029411764705882356,-0.09999999999999999,0.9401260210157043,0.797971695234851
41,回る,舞台,0.1596638655462185,0.13333333333333333,0.6815662702583456,0.7323675052362975
42,揺れる,踊り,0.25,0.38333333333333336,0.5164895523012263,0.30849527238037144
43,揺れる,女性,0.016666666666666666,0.11666666666666665,0.9660548039946861,0.7650079429261462
44,揺れる,スカート,0.08333333333333334,0.46025507481564765,0.831214097710308,0.21252229468836073
45,揺れる,夜,0.16666666666666669,0.7,0.668231040071504,0.03576957497026169
46,揺れる,音楽,0.049999999999999996,-0.0504201680672269,0.8983528043506301,0.8975022296240935
47,揺れる,回る,-0.13333333333333333,0.108787563138244,0.7323675052362975,0.7805538526280621
48,揺れる,舞台,0.0,0.20083857810137354,1.0,0.6043593545214949
49,舞台,踊り,0.5833333333333334,0.7,0.09918581647988323,0.03576957497026169
50,舞台,女性,0.8166666666666667,0.46025507481564765,0.007224785246358786,0.21252229468836073
51,舞台,スカート,0.6,0.2016877936358443,0.0876228290414024,0.6027992537712049
52,舞台,夜,0.6694619270045785,0.7311182519299355,0.04856819494488676,0.025215384202334205
53,舞台,音楽,0.31666666666666665,-0.1422606594884729,0.4063970144863861,0.7150322450059001
54,舞台,回る,0.2333333333333333,0.22594340036404525,0.5456987782182727,0.5588463751684138
55,舞台,揺れる,0.4666666666666666,0.11666666666666665,0.20538635110581185,0.7650079429261462
